epoch,acc,loss,val_acc,val_loss
0,0.17307692766189575,1.644638180732727,0.9230769276618958,0.6206147074699402
1,0.9230769276618958,0.3343483805656433,0.9230769276618958,0.45411983132362366
2,0.9230769276618958,0.5068188309669495,0.9230769276618958,0.4474046528339386
3,0.9230769276618958,0.6272048950195312,0.9230769276618958,0.5146618485450745
4,0.9230769276618958,0.49506956338882446,0.9230769276618958,0.6264823079109192
5,0.9230769276618958,0.3761642873287201,0.9230769276618958,0.7467516660690308
6,0.9230769276618958,0.3352605402469635,0.9230769276618958,0.8326913118362427
7,0.9230769276618958,0.3586587607860565,0.9230769276618958,0.8714564442634583
8,0.9230769276618958,0.40675655007362366,0.9230769276618958,0.8728207945823669
9,0.9230769276618958,0.4094618558883667,0.9230769276618958,0.8488804697990417
10,0.9230769276618958,0.3795139491558075,0.9230769276618958,0.7998313903808594
11,0.9230769276618958,0.3423348665237427,0.9230769276618958,0.7339023947715759
12,0.9230769276618958,0.36141714453697205,0.9230769276618958,0.6637131571769714
13,0.9230769276618958,0.321025013923645,0.9230769276618958,0.6085200905799866
14,0.9230769276618958,0.33569177985191345,0.9230769276618958,0.5749433040618896
15,0.9230769276618958,0.40538233518600464,0.9230769276618958,0.5707772970199585
16,0.9230769276618958,0.4065898060798645,0.9230769276618958,0.5913222432136536
17,0.9230769276618958,0.3853168487548828,0.9230769276618958,0.6276934742927551
18,0.9230769276618958,0.36025509238243103,0.9230769276618958,0.6652094125747681
19,0.9230769276618958,0.35643666982650757,0.9230769276618958,0.6992206573486328
20,0.9230769276618958,0.3645477592945099,0.9230769276618958,0.7203812003135681
21,0.9230769276618958,0.3646085858345032,0.9230769276618958,0.7267058491706848
22,0.9230769276618958,0.34628984332084656,0.9230769276618958,0.7209078073501587
23,0.9230769276618958,0.3660259544849396,0.9230769276618958,0.7056604623794556
24,0.9230769276618958,0.39614975452423096,0.9230769276618958,0.686241865158081
25,0.9230769276618958,0.3282885253429413,0.9230769276618958,0.6618772745132446
26,0.9230769276618958,0.35337895154953003,0.9230769276618958,0.637091338634491
27,0.9230769276618958,0.3308960795402527,0.9230769276618958,0.6122931241989136
28,0.9230769276618958,0.3304065465927124,0.9230769276618958,0.5891592502593994
29,0.9230769276618958,0.3373359441757202,0.9230769276618958,0.5718254446983337
30,0.9230769276618958,0.3598816990852356,0.9230769276618958,0.5610421895980835
31,0.9230769276618958,0.32677045464515686,0.9230769276618958,0.556797444820404
32,0.9230769276618958,0.3492405116558075,0.9230769276618958,0.5560581684112549
33,0.9230769276618958,0.3457220494747162,0.9230769276618958,0.5589942932128906
34,0.9230769276618958,0.3503456115722656,0.9230769276618958,0.5619385838508606
35,0.9230769276618958,0.3355405032634735,0.9230769276618958,0.5611411333084106
36,0.9230769276618958,0.3494294285774231,0.9230769276618958,0.5599426031112671
37,0.9230769276618958,0.36107107996940613,0.9230769276618958,0.5550791025161743
38,0.9230769276618958,0.35844293236732483,0.9230769276618958,0.5473180413246155
39,0.9230769276618958,0.32740673422813416,0.9230769276618958,0.5384292006492615
40,0.9230769276618958,0.3401426672935486,0.9230769276618958,0.5290321707725525
41,0.9230769276618958,0.332864910364151,0.9230769276618958,0.5199568867683411
42,0.9230769276618958,0.33295634388923645,0.9230769276618958,0.5086915493011475
43,0.9230769276618958,0.3479732871055603,0.9230769276618958,0.49794870615005493
44,0.9230769276618958,0.321513295173645,0.9230769276618958,0.4881490170955658
45,0.9230769276618958,0.32921141386032104,0.9230769276618958,0.4788123667240143
46,0.9230769276618958,0.3498757779598236,0.9230769276618958,0.4735060930252075
47,0.9230769276618958,0.3389072120189667,0.9230769276618958,0.4712868928909302
48,0.9230769276618958,0.35575297474861145,0.9230769276618958,0.47058793902397156
49,0.9230769276618958,0.34727731347084045,0.9230769276618958,0.4701440632343292
50,0.9230769276618958,0.34454014897346497,0.9230769276618958,0.46931740641593933
51,0.9230769276618958,0.342734158039093,0.9230769276618958,0.46680495142936707
52,0.9230769276618958,0.3342001736164093,0.9230769276618958,0.4642016291618347
53,0.9230769276618958,0.35002362728118896,0.9230769276618958,0.46148088574409485
54,0.9230769276618958,0.3386119306087494,0.9230769276618958,0.45909592509269714
