epoch,acc,loss,val_acc,val_loss
0,0.21555,2.122376190185547,0.22540000038146973,2.1187329338073733
1,0.33035,1.874117099761963,0.30800000009536743,1.9153587936401366
2,0.3897,1.7171598890304565,0.3464999996185303,1.8200369564056396
3,0.415225,1.6401625347137452,0.3791999998092651,1.7315201002120972
4,0.436475,1.5784391344070434,0.4131999997615814,1.6706945484161377
5,0.455225,1.5298631355285643,0.44420000019073486,1.5949468677520753
6,0.471475,1.4912644252777099,0.4581000002861023,1.5440194847106934
7,0.47965,1.4633391395568847,0.47859999980926515,1.5035162742614747
8,0.490225,1.4346399028778076,0.48640000009536744,1.4690473777770996
9,0.49715,1.4150398120880128,0.4875000005722046,1.4632898147583009
10,0.50705,1.3874571960449218,0.4955000004768372,1.4267736921310425
11,0.511425,1.368273187637329,0.5060999992370605,1.402527732849121
12,0.520125,1.35057261428833,0.5077000005722045,1.3979657466888429
13,0.5276,1.3317056787490844,0.5179999999046325,1.364695019721985
14,0.53205,1.3174504932403563,0.5185999995231628,1.3523317066192626
15,0.53645,1.3032734230041505,0.5280999995231629,1.353483094215393
16,0.545175,1.2901256427764893,0.5242999994277954,1.3373325674057006
17,0.55025,1.272022639465332,0.519,1.3580509210586549
18,0.55235,1.259578685951233,0.522299999332428,1.335736910057068
19,0.5571,1.250317859840393,0.5151000000953674,1.374827665901184
20,0.56265,1.2380393308639526,0.5387000006675721,1.3091410142898559
21,0.5629,1.2299992301940919,0.5399000005722046,1.2887724411010741
22,0.567175,1.2210552577972411,0.5449000007629394,1.2893014303207397
23,0.570825,1.2108194437026978,0.5378,1.2990033004760742
24,0.571825,1.2048449472427367,0.5425000002861023,1.2860259334564208
25,0.5768,1.1943430526733398,0.5450000003814697,1.2754702335357666
26,0.58075,1.183123790359497,0.5213999999046326,1.3666347799301148
27,0.580775,1.1826050758361817,0.5451999992370605,1.2872570264816283
28,0.585175,1.1701978040695191,0.549399999332428,1.2589750135421753
29,0.58715,1.1608520839691163,0.5384000007629395,1.3264506996154786
30,0.589875,1.1610300220489502,0.5473000004768371,1.2708004379272462
31,0.592425,1.1499056558609009,0.5319,1.331908278656006
32,0.590825,1.1457138723373412,0.5401000000953674,1.303881259536743
33,0.5979,1.1368713088989257,0.5389999997138977,1.3046182746887207
34,0.598075,1.1282064559936524,0.5253999998092651,1.3620168684005738
35,0.599,1.127528750038147,0.5484000007629395,1.279190936088562
36,0.60185,1.1185758464813231,0.5459000007629394,1.277170422744751
37,0.60495,1.1146327156066895,0.5641999995231628,1.2291093339920045
38,0.60565,1.1116093975067138,0.5477000007629395,1.2760923564910889
39,0.6081,1.1048669960021973,0.553400000667572,1.266105831336975
